NOTE  |Author: NavySeals - Ver. 1.A,Column 2
NOTE  |Mass Miners,
NOTE  |Make Troops: All Miners," 1Rage, 3Heal, 1Jump, 1Poison(optional)"
      |----------------------------------- Script: Mass Bowller Start --------------------------------|,
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|,
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |,
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|,
MAKE  |N          |FRONT-LEFT |10         |6          |INT-EXT    |0          |0          |           | ,
MAKE  |A          |FRONT-RIGHT|10         |6          |INT-EXT    |0          |0          |           |,
MAKE  |F          |FRONT-LEFT |10         |8          |INT-EXT    |0          |0          |           | ,
MAKE  |G          |FRONT-RIGHT|10         |8          |INT-EXT    |0          |0          |           |,
MAKE  |I          |FRONT-LEFT |10         |-4         |INT-EXT    |0          |0          |           |,
MAKE  |D          |FRONT-LEFT |10         |-9         |INT-EXT    |0          |0          |           |,
MAKE  |J          |FRONT-RIGHT|10         |-9         |INT-EXT    |0          |0          |           |,
MAKE  |B          |FRONT-LEFT |10         |-18        |INT-EXT    |0          |0          |           |,
MAKE  |K          |FRONT-RIGHT|10         |-12        |INT-EXT    |0          |0          |           | ,
MAKE  |L          |FRONT-LEFT |10         |-16        |INT-EXT    |0          |0          |           | ,
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|           |,
DROP  |I          |1          |1          |Jspell     |0          |0          |500-600    |           |,
DROP  |N          |1          |1          |castle     |0          |0          |200-500    |           |,
DROP  |F          |6-10       |9          |Mine       |50         |0          |10-50      |           |,
DROP  |G          |6-10       |9          |Mine       |50         |0          |0          |           |,
DROP  |N          |1          |1          |King       |0          |0          |0          |           |,
DROP  |N          |1          |1          |Queen      |0          |0          |0          |           |,
DROP  |N          |1          |1          |Warden     |0          |0          |400-500    |           |,
DROP  |F          |1-5        |8          |Mine       |50         |0          |0          |           |,
DROP  |G          |1-5        |8          |Mine       |50         |0          |10-20      |           |,
WAIT  |4000-6000  |           |           |           |           |           |           |           |,
DROP  |D          |3          |1          |HSpell     |0          |0          |10-20      |           |,
DROP  |J          |2-3        |1          |HSpell     |0          |0          |500-1000   |           |,
DROP  |K          |1          |2          |PSpell     |0          |0          |200-600    |           |,
WAIT  |6000-8000  |           |           |           |           |           |           |           |,
DROP  |N          |1          |1          |Warden     |0          |0          |100-200    |           |,
WAIT  |24000-28000|           |           |           |           |           |           |           |,
DROP  |F-G        |1          |16         |Mine       |50         |0          |500-1000   |           |,
DROP  |F-G        |1          |16         |Mine       |50         |0          |500-1000   |           |,
WAIT  |1000-1500  |           |           |           |           |           |           |           |,
DROP  |L          |1-2        |1          |RSpell     |0          |0          |200-500    |           |,
DROP  |B          |1-2        |1          |HSpell     |0          |0          |0          |           |,
,
